Basename,RevAge
204529320127_R01C01,8.31
204529320118_R05C02,7.69
205483080038_R03C01,8.19
204529320130_R03C02,3.95
205483080038_R05C02,4.45
204529320125_R03C01,9.95
205483080038_R01C02,10.45
204529320125_R05C02,5.66
204529320130_R02C01,7.2
204529320125_R02C02,6.72
204529320118_R01C01,10.07
205483080039_R02C01,10.57
204529320127_R04C02,7.1
204529320130_R05C01,6.72
202897220007_R01C02,8.3
203877620055_R06C01,9.3
202897220007_R02C02,4.3
203877620055_R02C02,5.3
202894750016_R05C01,14.3
202897220007_R06C01,8.3
203877620055_R06C02,9.3
202897220103_R01C02,5.3
203877620015_R01C02,6.3
202897220103_R06C02,5.3
203877620003_R01C01,6.3
202897220105_R01C02,5.3
203877620029_R01C01,6.3
202897220075_R05C02,5.3
203877620029_R05C01,6.3
202897220103_R02C02,5.3
203877620029_R05C02,6.3
202897220044_R02C02,4.3
203877620017_R01C01,5.3
202897220073_R06C01,4.3
203877620017_R05C02,5.3
202897220044_R04C02,8.3
203877620068_R03C01,9.3
202897220103_R01C01,4.3
203877620068_R04C01,5.3
202897220007_R04C01,1
202897220075_R02C01,7
202897220044_R06C02,6
202894750016_R06C02,0.5
202897220007_R04C02,4.26
202894750016_R04C02,2.5
202897220105_R01C01,1.7
202897220073_R01C01,2.4
202897220073_R04C02,3.4
202897220105_R05C01,0.3
202897220105_R06C02,2.3
202897220073_R04C01,17.3
203877620065_R06C01,18.3
202897220007_R06C02,4.3
203877620065_R03C02,5.3
202897220074_R06C01,4.3
203877620055_R05C01,5.3
204529320118_R02C01,4.2
204529320118_R06C02,3.72
205483080041_R05C01,4.7
205483080002_R04C02,4.85
204529320118_R04C01,5.98
204529320127_R03C01,7.9
204529320125_R03C02,5
204529320130_R03C01,5.52
204529320127_R06C01,5.63
204529320127_R05C01,8.76
204529320130_R01C01,9.67
204529320118_R03C02,7.96
204529320125_R04C01,4.7
204529320127_R05C02,9.78
204529320127_R04C01,8.35
204529320118_R06C01,7.06
204529320125_R06C02,7.26
204529320125_R02C01,6.3
204529320125_R01C01,5.49
204529320118_R05C01,12.59
204529320118_R04C02,11.14
204529320130_R01C02,11.02
204529320127_R02C01,7.37
204529320125_R04C02,10.17
204529320130_R06C01,8.73
204529320127_R02C02,10.37
204529320130_R04C01,12.24
204529320118_R02C02,11.68
204529320127_R06C02,2.2
204529320125_R01C02,1.72
204529320125_R05C01,2.2
204529320127_R03C02,1.72
204529320118_R03C01,2.2
204529320118_R01C02,2.2
205483080039_R03C02,1.72
204529320130_R04C02,2.2
204529320127_R01C02,1.72
205483080041_R03C01,2.7
205483080002_R06C01,2.2
204529320125_R06C01,5.2
204529320130_R06C02,4.72
205483080041_R04C01,5.7
205483080002_R03C02,1.2
205483080038_R04C01,0.72
204529320130_R05C02,1.2
204529320130_R02C02,0.72
205483080041_R04C02,1.2
205483080039_R05C01,0.72
205483080038_R06C02,1.2
205483080002_R02C02,0.72
